id,text,target,language,HS,TR,AG,__index_level_0__
201,"Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike",mig,en,1,0,0,0
202,"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... https://t.co/Ks0SHbtYqn",mig,en,1,0,0,1
203,"@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe",mig,en,1,0,0,2
204,NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6,mig,en,0,0,0,3
205,"Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants https://t.co/NeYFyqvYlX",mig,en,0,0,0,4
206,@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall,mig,en,1,0,0,5
207,"@RitaPanahi @826Maureen @RealCandaceO Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.#JuvenileDelinquents",mig,en,0,0,0,6
208,Ex-Teacher Pleads Not guilty To Rape Charges https://t.co/D2mGu3VT5G,mig,en,0,0,0,7
209,still places on our Bengali (Sylheti) class! it's London's 2nd language! know anyone interested @SBSisters @refugeecouncil @DocsNotCops https://t.co/sOx6shjvMx,mig,en,0,0,0,8
210,DFID Africa Regional Profile: July 2018 https://t.co/npfZCriW0w,mig,en,0,0,0,9
211,Watch: Benjamin Netanyahu backs Trump's decision to cut aid to the Palestinians and UNRWA - Free Speech Time - https://t.co/SB843Zf0IF @ISupport_Israel,mig,en,0,0,0,10
212,"@RealDonaldTrump @HouseGOP Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers  #SendThemBack !  Stop Alowing illegals to Abuse the Taxpayer #Immigration https://t.co/rItfeGcB5R via @BreitbartNews",mig,en,1,0,1,11
213,"While Costa Rica has received the most asylum claims, Panama, Mexico and the USA have also recorded a growing trend of claims by Nicaraguans in need of international refugee protection. https://t.co/pp7LgFikT1",mig,en,0,0,0,12
214,"US immigrant policy to enter US has always been - education or skill &amp; sponsor to take responsibility 4 them. In last 30 yrs, US has taken in so many with no education or means to support themselves - many never learn English. With Catch &amp; Release too many go on welfare-",mig,en,0,0,0,13
215,"Italy’s populist coalition poised to defy EU with plans to deport 500,000 migrants https://t.co/dNxnranpM6",mig,en,0,0,0,14
216,"Lithuania, Romania aided CIA torture, top European Union court rules https://t.co/Xe5EDJp3jt            EU court is a joke ! Why are they silent as Europe is being destroyed with FORCED islamist immigration...",mig,en,1,0,1,15
217,"Worldbank reports that in the next 30 years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to shoot them down and protect her own homeland, before it will destroyed from Africans ? https://t.co/gVBh2r9bes",mig,en,1,0,1,16
218,Rich African Countries don't take in African MigrantsRich muslim countries don't take in muslim migrantsRich latin american countries don't take it latin migrantsBut white countries are suppose to accept them??,mig,en,1,0,0,17
219,New research uncovers successes and failures of UK’s help for Syrian immigrants https://t.co/XCgX2mLVN9,mig,en,0,0,0,18
220,Immigration why us 2 Million EU Migrants allowed and their families also more money leaving the EU no thats to pay for their passage to get to the Uk...,mig,en,0,0,0,19
221,@NBCNews @MSNBC @jacobsoboroff @DatelineNBC Close the tunnels with gunpowder !,mig,en,0,0,0,20
222,Hitler left a stain on Germany for the atrocities he committed against the Jews.  Trump will leave a stain on America for the atrocities he's commiting against these immigrant families.  I only hope there is a reenactment of the Nuremberg Trials at the end of his reign. #Inhumane https://t.co/oZoPGNiFaE,mig,en,0,0,0,21
